Vernier Format 2
Sin título.cmbl 16/09/2025 15:39:30 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.1	-0.523598775598	-5.55596478552	-1.38171899116	0.4169165	0.455523055556	-1.08096873457
0.2	-1.08210413624	-5.62868683768	-1.95137506647	0.468195	0.365390277778	-1.35490690201
0.3	-1.60570291183	-5.91957504635	-2.13479624249	0.501809	0.224322	-1.74333719907
0.4	-2.25147473507	-6.29772971761	-0.366303670172	0.520674	0.0145775	-2.06026549383
0.5	-2.93215314335	-6.07956356111	2.09547246613	0.5078115	-0.233192361111	-1.89015760802
0.6	-3.49065850399	-5.63353497449	2.28535782456	0.4690525	-0.421604166667	-1.06520290895
0.7	-4.03171057211	-5.4202169548	0.522521411863	0.4128005	-0.482820138889	0.194406365741
0.8	-4.53785605519	-5.56081292233	-1.06254998443	0.3603215	-0.392115694444	1.52955239198
0.9	-5.13126800086	-5.83715672056	-0.80263598317	0.3201905	-0.143678888889	2.42941130401
1	-5.74213323906	-5.79837162607	0.226246384518	0.3239635	0.18050375	2.36339174383
1.1	-6.3006385997	-5.65777565855	0.0255873887252	0.364952	0.41460125	1.35467797068
1.2	-6.85914396034	-5.67232006898	-1.35747830711	0.422576	0.478437361111	-0.0202332947531
1.3	-7.41764932098	-5.88563808867	-2.99507118552	0.472997	0.389209722222	-1.22427974537
1.4	-7.99360797413	-6.45771823238	-2.7513176403	0.506954	0.204656666667	-2.06063337191
1.5	-8.74409955249	-6.69527693612	-0.0915759175428	0.5211885	-0.06045375	-2.37362087191
1.6	-9.38987137573	-6.39954059065	1.97965586453	0.497007	-0.337712083333	-1.88573248457
1.7	-10.0181899064	-6.09410797155	2.13722031089	0.4446995	-0.508259305556	-0.610836419753
1.8	-10.5941485596	-5.9001824991	1.32381069036	0.379358	-0.492871944444	1.01664035494
1.9	-11.1875605053	-5.84200485737	0.362263556162	0.3284225	-0.276591388889	2.30834236111
2	-11.7635191584	-5.81776417331	-0.771661775766	0.3143595	0.0504972222222	2.67191971451
2.1	-12.3394778116	-5.9438157304	-2.332492488	0.341285	0.349812361111	1.97225
