"Último: Tiempo (s)","Último: Angulo (rad)","Último: Velocidad 1 (rad/s)","Último: Aceleración 1 (rad/s²)","Último: Posición (m)","Último: Velocidad 2 (m/s)","Último: Aceleración 2 (m/s²)"
0.05,-0.331612557879,-5.99229709851,5.93842891172,0.324135,0.0878461111111,1.91542209877
0.1,-0.645771823238,-5.67232006898,5.14764392965,0.325507,0.174548888889,2.09878947531
0.15,-0.907571211037,-5.38724962449,3.71044070609,0.3363115,0.292922,2.17855814815
0.2,-1.16937059884,-5.34264676583,2.9433577262,0.354319,0.416173333333,1.81670373457
0.25,-1.44862327916,-5.17781011425,3.50574159629,0.380044,0.500398888889,0.932652993827
0.3,-1.69296937443,-4.9354032737,2.96598236465,0.4076555,0.512118055556,-0.0223055864198
0.35,-1.93731546971,-4.78995916936,0.565615961294,0.433209,0.477913333333,-0.58998117284
0.4,-2.16420827247,-4.81904799023,-3.3075066689,0.455504,0.434847777778,-0.779848611111
0.45,-2.40855436775,-5.10993619889,-7.53615933191,0.476084,0.399118611111,-0.923241666667
0.5,-2.67035375555,-5.57535733276,-11.059138748,0.4958065,0.353480555556,-1.28333873457
0.55,-2.94960643587,-6.33166667529,-11.2530642204,0.512442,0.281736388889,-1.86897947531
0.6,-3.29867228627,-7.06858347058,-4.21249220697,0.5256475,0.171118888889,-2.51607438272
0.65,-3.70009801423,-6.95222818711,6.27564376103,0.5318215,0.0155302777778,-2.85261666667
0.7,-4.03171057211,-6.10865238198,10.5797118855,0.526848,-0.137295277778,-2.70880015432
0.75,-4.29350995991,-5.5074834174,7.35839431551,0.516558,-0.261632777778,-2.36198904321
0.8,-4.55530934771,-5.39112813394,3.44756395456,0.5006085,-0.375394444444,-1.92911033951
0.85,-4.83456202802,-5.32325421858,1.85845244425,0.477799,-0.460096388889,-1.39640169753
0.9,-5.09636141582,-5.16811384063,-0.199312291123,0.4529315,-0.510688888889,-0.909479320988
0.95,-5.3407075111,-5.22629148236,-4.02395355321,0.426692,-0.550515,-0.360255864198
