"Último: Tiempo (s)","Último: Angulo (rad)","Último: Velocidad 1 (rad/s)","Último: Aceleración 1 (rad/s²)","Último: Posición (m)","Último: Velocidad 2 (m/s)","Último: Aceleración 2 (m/s²)"
0.05,-0.296705972839,-6.34136294891,1.69900261136,0.4882605,0.216661666667,-1.62568237654
0.1,-0.610865238198,-6.32681853848,3.70666993302,0.501466,0.145632083333,-1.8733146142
0.15,-0.942477796077,-6.11447014615,6.42054918349,0.50764,0.0405311666667,-2.12283652778
0.2,-1.23918376892,-5.62383870087,7.96656614437,0.506268,-0.0787947222222,-2.1528066821
0.25,-1.50098315672,-5.16811384063,6.72975257567,0.498722,-0.186649166667,-1.94206282407
0.3,-1.74532925199,-4.91601072645,4.5443202376,0.4868885,-0.276115,-1.6310179321
0.35,-1.98967534727,-4.75117407487,2.94658981741,0.4704245,-0.348526111111,-1.31583904321
0.4,-2.21656815003,-4.6736038859,2.42406840555,0.4515595,-0.407026666667,-0.993112037037
0.45,-2.46091424531,-4.53785605519,2.62338069667,0.429436,-0.453712777778,-0.552293518519
0.5,-2.67035375555,-4.39241195085,2.59644660328,0.40474,-0.467909166667,0.00259367283951
0.55,-2.89724655831,-4.29544921463,2.82807980647,0.381416,-0.452188333333,0.54535941358
0.6,-3.10668606855,-4.09182746856,2.80653253176,0.3586065,-0.411314166667,1.03916296296
0.65,-3.29867228627,-4.00456100596,2.58028614724,0.339227,-0.344715,1.43456574074
0.7,-3.50811179651,-3.8882057225,2.81191935044,0.323449,-0.261728055556,1.6850404321
0.75,-3.70009801423,-3.61671006108,0.813409620528,0.3126445,-0.169022777778,1.7877287037
0.8,-3.85717764691,-3.61671006108,-4.28790766848,0.306985,-0.0814625,1.85347037037
0.85,-4.03171057211,-4.1500051103,-7.28836567268,0.3044125,0.0100994444444,2.0108375
0.9,-4.27605666739,-4.63481879141,-5.0259018275,0.306985,0.119764166667,2.14491450617
0.95,-4.52040276267,-4.68330015952,-1.91232063104,0.3160745,0.234955,2.07726728395
1,-4.74729556542,-4.64451506503,-1.95541518047,0.331338,0.334806111111,1.84156064815
1.05,-4.97418836818,-4.78026289574,-4.21249220697,0.350203,0.4193175,1.54482330247
1.1,-5.21853446346,-5.08084737803,-6.63656061252,0.3733555,0.494586944444,1.10733950617
1.15,-5.48033385126,-5.45900204929,-8.86670354563,0.4007955,0.541177777778,0.437166203704
1.2,-5.75958653158,-5.96320827765,-10.9783364678,0.429436,0.543750277778,-0.382063888889
1.25,-6.07374579694,-6.56437724222,-12.1849838519,0.4567045,0.504591111111,-1.28127438272
1.3,-6.40535835482,-7.31099031113,-9.96561455614,0.481229,0.423414444444,-2.29910570988
1.35,-6.80678408278,-7.90246300209,-1.14200555995,0.502152,0.2744,-3.21663070988
1.4,-7.24311639578,-7.55339715169,9.82017045181,0.511413,0.0716488888889,-3.49325385802
1.45,-7.59218224618,-6.58376978947,14.2912299554,0.507983,-0.109188333333,-3.05989876543
1.5,-7.88888821901,-5.77897907883,11.646301984,0.4978645,-0.238956666667,-2.44615108025
1.55,-8.15068760681,-5.35234303945,6.85203335968,0.483287,-0.3438575,-1.95742901235
1.6,-8.41248699461,-5.20689893512,3.79232035001,0.4632215,-0.434180833333,-1.47828765432
