Vernier Format 2
Sin título.cmbl 9/09/2025 17:31:31 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.1	0.5482855	-0.0576430555556	0.209571412037	0	0	0
0.2	0.541254	-0.0391829861111	0.230453125	0	0	-0.00808022801849
0.3	0.5376525	-0.0105758333333	0.226034618056	0	0	-0.053329504922
0.4	0.5397105	0.0122431944444	0.163619733796	0	0	-0.259914001262
0.5	0.540911	0.0266777777778	0.0524887924383	0	-0.0193925472444	-0.884784968025
0.6	0.5465705	0.0239623611111	-0.0677266203704	0	-0.111507146655	-2.13048678754
0.7	0.547085	0.00666944444444	-0.123808179012	0	-0.426636039376	-3.50681896003
0.8	0.5472565	-0.00743166666667	-0.107650655864	-0.0698131700798	-0.901753446864	-4.04684753259
0.9	0.545713	-0.0152920833333	-0.117231365741	-0.191986217719	-1.29930066537	-3.90005672359
1	0.5431405	-0.0250104166667	-0.226337654321	-0.331612557879	-1.67260719983	-3.67650374841
1.1	0.536795	-0.0162925	-0.68148753858	-0.523598775598	-2.05076187109	-3.24151814009
1.2	0.559433	-0.170975972222	-1.00095922068	-0.750491578358	-2.34165007976	-2.56547239587
1.3	0.50078	-0.308509444444	-0.510874151235	-0.994837673637	-2.5792087835	-1.67260719983
1.4	0.47677	-0.267444722222	-0.0200083333333	-1.27409035396	-2.7101084774	-0.468653225073
1.5	0.453446	-0.261489861111	0.0610836419753	-1.55334303427	-2.6664752461	0.619484148084
1.6	0.4265205	-0.260346527778	0.130173263889	-1.81514242207	-2.53072741539	1.11237805721
1.7	0.3987375	-0.243387083333	0.236249189815	-2.05948851735	-2.38528331106	0.941346564154
1.8	0.3764425	-0.210325694444	0.335933564815	-2.28638132011	-2.30771312208	0.37707730753
1.9	0.3568915	-0.174167777778	0.421352739198	-2.51327412287	-2.31256125889	-0.140057285654
2	0.340942	-0.129101388889	0.529519483025	-2.74016692563	-2.39013144787	-0.173724902398
2.1	0.329623	-0.0688381944444	0.640306365741	-3.00196631343	-2.38528331106	0.0902292128732
2.2	0.3263645	0.00185791666667	0.721120447531	-3.22885911619	-2.29316871165	-0.329942644088
2.3	0.329623	0.0783659722222	0.760753356481	-3.43829862643	-2.39982772149	-1.1931803374
2.4	0.341628	0.158542222222	0.736695717593	-3.70009801423	-2.59375319394	-1.51908286748
2.5	0.361522	0.2340975	0.612980169753	-3.96189740203	-2.75858984551	-1.31438375767
2.6	0.389991	0.290644861111	0.382368248457	-4.25860337487	-2.86040071855	-1.01002850231
2.7	0.4224045	0.315321805556	0.0918239583333	-4.53785605519	-2.92342649709	-0.988481227596
2.8	0.455504	0.308795277778	-0.203338657407	-4.83456202802	-3.05432619099	-0.954813610852
2.9	0.486374	0.27311375	-0.473107098765	-5.14872129338	-3.17068147446	-0.386504240218
3	0.5126135	0.208705972222	-0.66904849537	-5.48033385126	-3.17068147446	0.572349484643
3.1	0.529592	0.1277675	-0.734393171296	-5.79449311662	-3.03978178056	1.39383933319
3.2	0.5376525	0.0509259722222	-0.679184992284	-6.09119908946	-2.85555258174	1.76822323138
3.3	0.5383385	-0.0115286111111	-0.578177314815	-6.37045176978	-2.63738642524	1.55544389356
3.4	0.5342225	-0.0610730555556	-0.506070563272	-6.61479786506	-2.47254977366	0.655845174168
3.5	0.526162	-0.108950138889	-0.472326350309	-6.84169066782	-2.52103114177	-0.133323762305
3.6	0.5122705	-0.154588194444	-0.448401041667	-7.12094334814	-2.57436064669	-0.258567296592
3.7	0.4954635	-0.200750277778	-0.399849074074	-7.36528944342	-2.56951250988	-0.3205157114
3.8	0.471625	-0.240147638889	-0.291695563272	-7.62708883122	-2.6228420148	-0.457879587715
3.9	0.4459	-0.262347361111	-0.142307947531	-7.88888821901	-2.68101965654	-0.467306520403
4	0.418117	-0.270303055556	0.0344323302469	-8.16814089933	-2.7101084774	-0.569656075304
4.1	0.3901625	-0.257535833333	0.242084953704	-8.42994028713	-2.75858984551	-0.956160315522
4.2	0.365295	-0.225141388889	0.486366589506	-8.70919296745	-2.90403394985	-1.23223477282
